iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,534,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"EWBC","EAST WEST BANCORP INC","EQUITY","Financials","Equity","471,508,924.80","471,508,924.80","4,482,024.00","105.20","United States","NASDAQ","USD","1.00","USD","-","0.47","0.47"
"WPC","W. P. CAREY REIT INC","EQUITY","Real Estate","Equity","470,773,739.37","470,773,739.37","7,121,067.00","66.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.47","0.47"
"JLL","JONES LANG LASALLE INC","EQUITY","Real Estate","Equity","468,073,211.32","468,073,211.32","1,543,828.00","303.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.47","0.47"
"SFM","SPROUTS FARMERS MARKET INC","EQUITY","Consumer Staples","Equity","465,516,059.64","465,516,059.64","3,182,363.00","146.28","United States","NASDAQ","USD","1.00","USD","-","0.46","0.47"
"UTHR","UNITED THERAPEUTICS CORP","EQUITY","Health Care","Equity","457,986,145.29","457,986,145.29","1,466,823.00","312.23","United States","NASDAQ","USD","1.00","USD","-","0.46","0.46"
"COHR","COHERENT CORP","EQUITY","Information Technology","Equity","454,430,835.20","454,430,835.20","5,054,848.00","89.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.45","0.45"
"TOL","TOLL BROTHERS INC","EQUITY","Consumer Discretionary","Equity","450,032,915.64","450,032,915.64","3,233,692.00","139.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.45","0.45"
"CG","CARLYLE GROUP INC","EQUITY","Financials","Equity","448,374,554.64","448,374,554.64","6,928,984.00","64.71","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","EQUITY","Industrials","Equity","445,232,490.75","445,232,490.75","1,815,423.00","245.25","United States","NASDAQ","USD","1.00","USD","-","0.44","0.45"
"EQH","EQUITABLE HOLDINGS INC","EQUITY","Financials","Equity","438,657,729.60","438,657,729.60","8,185,440.00","53.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.44","0.44"
"ITT","ITT INC","EQUITY","Industrials","Equity","437,331,987.84","437,331,987.84","2,559,293.00","170.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.44","0.44"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","435,853,827.28","435,853,827.28","3,218,296.00","135.43","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
"ENTG","ENTEGRIS INC","EQUITY","Information Technology","Equity","432,083,727.20","432,083,727.20","4,923,470.00","87.76","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"OC","OWENS CORNING","EQUITY","Industrials","Equity","430,814,247.60","430,814,247.60","2,765,885.00","155.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.43","0.43"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","EQUITY","Real Estate","Equity","430,339,710.15","430,339,710.15","8,937,481.00","48.15","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"APG","API GROUP CORP","EQUITY","Industrials","Equity","427,312,081.68","427,312,081.68","11,949,443.00","35.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.43"
"MANH","MANHATTAN ASSOCIATES INC","EQUITY","Information Technology","Equity","427,000,179.76","427,000,179.76","1,974,476.00","216.26","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"DUOL","DUOLINGO INC CLASS A","EQUITY","Consumer Discretionary","Equity","423,720,000.55","423,720,000.55","1,276,765.00","331.87","United States","NASDAQ","USD","1.00","USD","-","0.42","0.42"
"DKS","DICKS SPORTING INC","EQUITY","Consumer Discretionary","Equity","418,112,832.67","418,112,832.67","1,836,809.00","227.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.42","0.42"
