iShares S&P 500 Value ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"201,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","261,349,751.52","0.63","261,349,751.52","1,008,216.00","259.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","237,727,540.65","0.58","237,727,540.65","901,405.00","263.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","236,964,604.04","0.58","236,964,604.04","9,156,283.00","25.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","230,637,517.54","0.56","230,637,517.54","1,035,038.00","222.83","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","229,924,249.96","0.56","229,924,249.96","2,003,348.00","114.77","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","227,881,376.64","0.55","227,881,376.64","1,030,112.00","221.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","222,339,593.55","0.54","222,339,593.55","2,296,185.00","96.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","219,249,118.20","0.53","219,249,118.20","962,252.00","227.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","217,271,429.40","0.53","217,271,429.40","1,025,833.00","211.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","211,806,465.68","0.51","211,806,465.68","1,799,851.00","117.68","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","206,166,701.52","0.50","206,166,701.52","2,060,019.00","100.08","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","204,854,375.60","0.50","204,854,375.60","5,998,664.00","34.15","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","201,488,380.60","0.49","201,488,380.60","798,923.00","252.20","United States","NASDAQ","USD","1.00","USD","-"
