iShares S&P 500 Growth ETF
Fund Holdings as of,"Aug 22, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"549,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","295,031,889.75","0.47","295,031,889.75","2,214,123.00","133.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","292,433,169.48","0.46","292,433,169.48","841,268.00","347.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","284,397,569.68","0.45","284,397,569.68","2,600,563.00","109.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","264,594,975.36","0.42","264,594,975.36","1,423,472.00","185.88","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","255,790,972.08","0.41","255,790,972.08","1,637,167.00","156.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","250,535,534.70","0.40","250,535,534.70","939,990.00","266.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","247,428,436.52","0.39","247,428,436.52","284,309.00","870.28","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","226,317,420.00","0.36","226,317,420.00","2,965,375.00","76.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","225,201,160.60","0.36","225,201,160.60","535,492.00","420.55","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","218,146,147.12","0.35","218,146,147.12","552,101.00","395.12","United States","NASDAQ","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","208,995,422.96","0.33","208,995,422.96","673,831.00","310.16","United States","NASDAQ","USD","1.00","USD","-"
